Barcode,Name,Price,Category,Stock,Artist,Emoji,Image,Description,IsSetPriced,SetGroupName,SET1_QTY,SET1_Price,SET2_QTY,SET2_Price,SET3_QTY,SET3_Price
1001,PLAVE_Sticker set,50,Stickers,100,INK,💖,INK_PLAVE_Sticker set.jpg,,,,,,,,,
1002,sticker sheet A5 blooms,55,Stickers,100,Field,,Field_sheetA5_02.jpg,,TRUE,A5 set,2,100,,,,
1003,sticker sheet A5 fall,55,Stickers,100,Field,,Field_sheetA6_01.jpg,,TRUE,A5 set,2,100,,,,
1004,sticker sheet A6 fall,45,Stickers,100,Field,,Field_sheetA5_02.jpg,,FALSE,,,,,,,
1005,sticker sheet A6 blooms,45,Stickers,100,Field,,Field_sheetA6_02.jpg,,FALSE,,,,,,,
1006,แผ่นทุ่งดอกไม้01,39,Stickers,100,Field,,Field_แผ่นดอก_01.jpg,,FALSE,,,,,,,
1007,แผ่นทุ่งดอกไม้02,39,Stickers,100,Field,,Field_แผ่นดอก_02.jpg,,FALSE,,,,,,,
1008,ยางมัดผม01,169,Others,100,Field,,Field_ยาง_01.jpg,,FALSE,,,,,,,
1009,ยางมัดผม02,169,Others,100,Field,,Field_ยาง_02.jpg,,FALSE,,,,,,,
1010,ยางมัดผม03,169,Others,100,Field,,Field_ยาง_03.jpg,,FALSE,,,,,,,
1011,Fe_OC01,15,Stickers,100,Field,,Field_oc_01.jpg,,FALSE,,,,,,,
1012,Fe_OC02,15,Stickers,100,Field,,Field_oc_02.jpg,,FALSE,,,,,,,
1013,Fe_stamp01,15,Stickers,100,Field,,Field_stamp_01.jpg,,FALSE,,,,,,,
1014,Fe_stamp02,15,Stickers,100,Field,,Field_stamp_02.jpg,,FALSE,,,,,,,
1015,Fe_stamp03,15,Stickers,100,Field,,Field_stamp_03.jpg,,FALSE,,,,,,,
1016,Fe_stamp04,15,Stickers,100,Field,,Field_stamp_04.jpg,,FALSE,,,,,,,
1017,Fe_stamp05,15,Stickers,100,Field,,Field_stamp_05.jpg,,FALSE,,,,,,,
1018,Fe_stamp06,15,Stickers,100,Field,,Field_stamp_06.jpg,,FALSE,,,,,,,
1019,Fe_stamp07,15,Stickers,100,Field,,Field_stamp_07.jpg,,FALSE,,,,,,,
1020,Fe_stamp08,15,Stickers,100,Field,,Field_stamp_08.jpg,,FALSE,,,,,,,
1021,Fe_stamp09,15,Stickers,100,Field,,Field_stamp_09.jpg,,FALSE,,,,,,,
1022,Fe_stamp10,15,Stickers,100,Field,,Field_stamp_10.jpg,,FALSE,,,,,,,
1023,Fe_ministamp01,10,Stickers,100,Field,,Field_ministamp_01.jpg,,FALSE,,,,,,,
1024,Fe_ministamp02,10,Stickers,100,Field,,Field_ministamp_02.jpg,,FALSE,,,,,,,
1025,Fe_ministamp03,10,Stickers,100,Field,,Field_ministamp_03.jpg,,FALSE,,,,,,,
1026,Feแผ่นใส01,39,Stickers,100,Field,,Field_ใส_01.jpg,,FALSE,,,,,,,
1027,Feแผ่นใส02,39,Stickers,100,Field,,Field_ใส_02.jpg,,FALSE,,,,,,,
1028,Feแผ่นใส03,39,Stickers,100,Field,,Field_ใส_03.jpg,,FALSE,,,,,,,
1029,Feแผ่นใส04,39,Stickers,100,Field,,Field_ใส_04.jpg,,FALSE,,,,,,,
1030,Feเค้ก01,5,Stickers,100,Field,,Field_เค้ก_01.jpg,,FALSE,,,,,,,
1031,Feเค้ก02,5,Stickers,100,Field,,Field_เค้ก_02.jpg,,FALSE,,,,,,,
1032,Feเค้ก03,5,Stickers,100,Field,,Field_เค้ก_03.jpg,,FALSE,,,,,,,
1033,Feเค้ก04,5,Stickers,100,Field,,Field_เค้ก_04.jpg,,FALSE,,,,,,,
1034,Feเค้ก05,5,Stickers,100,Field,,Field_เค้ก_05.jpg,,FALSE,,,,,,,
1035,แผ่นรอง01,150,Others,100,Field,,Field_แผ่นรอง_01.jpg,,FALSE,,,,,,,
1036,แผ่นรอง02,150,Others,100,Field,,Field_แผ่นรอง_02.jpg,,FALSE,,,,,,,
1037,Feเมทัลลิค,20,Stickers,100,Field,,Field_เมทัล_01.jpg,,FALSE,,,,,,,
1038,Feเห็ด,5,Stickers,100,Field,,Field_เห็ด_02.jpg,,FALSE,,,,,,,
1039,ทุ่งดอก01,40,Postcard,100,Field,,Field_โปส_01.jpg,,FALSE,,,,,,,
1040,ทุ่งดอก02,40,Postcard,100,Field,,Field_โปส_02.jpg,,FALSE,,,,,,,
1041,ทุ่งดอก03,40,Postcard,100,Field,,Field_โปส_03.jpg,,FALSE,,,,,,,
1042,ทุ่งดอก04,40,Postcard,100,Field,,Field_โปส_04.jpg,,FALSE,,,,,,,
1043,เป็ด,40,Postcard,100,Field,,Field_โปส_05.jpg,,FALSE,,,,,,,
1044,Feพวงกุญแจ01,69,Acrylics,100,Field,,Field_พกจ_01.jpg,,FALSE,,,,,,,
1045,Feพวงกุญแจ02,69,Acrylics,100,Field,,Field_พกจ_02.jpg,,FALSE,,,,,,,
1046,Feพวงกุญแจ03,69,Acrylics,100,Field,,Field_พกจ_03.jpg,,FALSE,,,,,,,
1047,badge01,15,Stickers,100,Field,,Field_badge_01.jpg,,FALSE,,,,,,,
1048,badge02,15,Stickers,100,Field,,Field_badge_02.jpg,,FALSE,,,,,,,
1049,badge03,15,Stickers,100,Field,,Field_badge_03.jpg,,FALSE,,,,,,,
1050,advenฯ,29,Stickers,100,Field,,Field_adven_01.jpg,,FALSE,,,,,,,
1051,Feดันเมชิ01,20,Stickers,100,Field,,Field_dun_01.jpg,,FALSE,,,,,,,
1052,Feดันเมชิ02,20,Stickers,100,Field,,Field_dun_02.jpg,,FALSE,,,,,,,
1053,Feดันเมชิ03,20,Stickers,100,Field,,Field_dun_03.jpg,,FALSE,,,,,,,
1054,Feดันเมชิ04,20,Stickers,100,Field,,Field_dun_04.jpg,,FALSE,,,,,,,
1055,HxH01,40,Postcard,100,ฝัน,,ฝัน_โปส_01.jpg,,FALSE,,,,,,,
1056,HxH02,40,Postcard,100,ฝัน,,ฝัน_โปส_02.jpg,,FALSE,,,,,,,
1057,HxH03,40,Postcard,100,ฝัน,,ฝัน_โปส_03.jpg,,FALSE,,,,,,,
1058,คุกกี้ระเบิด,50,Acrylics,100,ฝัน,,ฝัน_คุกกี้_01.jpg,,FALSE,,,,,,,
1059,ฝันสตก01,10,Stickers,100,ฝัน,,ฝัน_สตก_01.jpg,,FALSE,,,,,,,
1060,ฝันสตก02,10,Stickers,100,ฝัน,,ฝัน_สตก_02.jpg,,FALSE,,,,,,,
1061,ฝันสตก03,10,Stickers,100,ฝัน,,ฝัน_สตก_03.jpg,,FALSE,,,,,,,
1062,เรื่องไม่ลับ,299,Books,100,ฟ่อน,,ฟ่อน_ไม่ลับ_01.jpg,,FALSE,,,,,,,
1063,เบียวตูนเกย์,230,Books,100,แม็ก,,แม็ก_เบียว_01.jpg,,FALSE,,,,,,,
1064,ARK END Acrylic01,140,Acrylics,100,PIM,,pim_arkacry_01.jpg,,TRUE,ark end,2,250,,,,
1065,ARK END Acrylic02,140,Acrylics,100,PIM,,pim_arkacry_02.jpg,,TRUE,ark end,2,250,,,,
1066,The BOY keychain set,240,Acrylics,100,PIM,,pim_magnet_01.jpg,,FALSE,,,,,,,
1067,The Boy standee - the deep,190,Acrylics,100,PIM,,pim_deep_01.jpg,,FALSE,,,,,,,
1068,Work ไร้ balance01,15,Stickers,100,PIM,,pim_work_01.jpg,,FALSE,,,,,,,
1069,Work ไร้ balance02,15,Stickers,100,PIM,,pim_work_02.jpg,,FALSE,,,,,,,
1070,Work ไร้ balance03,15,Stickers,100,PIM,,pim_work_03.jpg,,FALSE,,,,,,,
1071,Work ไร้ balance04,15,Stickers,100,PIM,,pim_work_04.jpg,,FALSE,,,,,,,
1072,Work ไร้ balance05,15,Stickers,100,PIM,,pim_work_05.jpg,,FALSE,,,,,,,
1073,ark end สตก01,10,Stickers,100,PIM,,pim_arkสตก_01.jpg,,FALSE,,,,,,,
1074,ark end สตก02,10,Stickers,100,PIM,,pim_arkสตก_02.jpg,,FALSE,,,,,,,
1075,ark end สตก03,10,Stickers,100,PIM,,pim_arkสตก_03.jpg,,FALSE,,,,,,,
